id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q732562,President of Ecuador,Q736,Q736,Q4261569,Q26185886,1830-09-22,,,,President of Ecuador
Q4261569,Vice President of Ecuador,Q736,Q736,,,1830-09-12,,,,Vice President of Ecuador
Q100594801,Minister of Culture and Heritage of Ecuador,Q736,Q736,,Q23924956,2007-01,,,,
Q19845330,Minister of Finance,Q736,Q736,,,,,,,
Q24293533,Minister of Foreign Affairs of Ecuador,Q736,Q736,,Q20716362,,,,,
Q27921459,Minister of National Defence,Q736,Q736,,,,,,,
Q6085548,President of the National Assembly of Ecuador,Q736,Q736,,,,,,,President of the National Assembly of Ecuador
Q5663928,Mayor of Guayaquil,Q736,Q1991935,,,,,,,
Q6797798,Mayor of Quito,Q736,Q2466472,,,1946,,,,Metropolitan Mayor of Quito
